x,y,u,v
19.744,-20,1.0088,-0.0032437
19.811,-20,1.0088,-0.0032311
19.878,-20,1.0088,-0.0032186
19.945,-20,1.0088,-0.003206
20.012,-20,1.0088,-0.0031935
20.08,-20,1.0088,-0.003181
20.148,-20,1.0088,-0.0031685
20.215,-20,1.0088,-0.0031561
20.283,-20,1.0088,-0.0031436
20.351,-20,1.0088,-0.0031312
20.42,-20,1.0088,-0.0031188
20.488,-20,1.0088,-0.0031064
20.556,-20,1.0088,-0.0030941
20.625,-20,1.0088,-0.0030817
20.694,-20,1.0088,-0.0030694
20.762,-20,1.0088,-0.0030571
20.831,-20,1.0088,-0.0030449
20.9,-20,1.0088,-0.0030326
20.97,-20,1.0088,-0.0030204
21.039,-20,1.0088,-0.0030082
21.109,-20,1.0088,-0.002996
21.178,-20,1.0088,-0.0029838
21.248,-20,1.0088,-0.0029717
21.318,-20,1.0088,-0.0029595
21.388,-20,1.0088,-0.0029474
21.458,-20,1.0088,-0.0029353
21.529,-20,1.0088,-0.0029233
21.599,-20,1.0088,-0.0029112
21.67,-20,1.0088,-0.0028992
21.74,-20,1.0088,-0.0028872
21.811,-20,1.0088,-0.0028753
21.882,-20,1.0087,-0.0028633
21.953,-20,1.0087,-0.0028514
22.025,-20,1.0087,-0.0028395
22.096,-20,1.0087,-0.0028276
22.168,-20,1.0087,-0.0028158
22.239,-20,1.0087,-0.002804
22.311,-20,1.0087,-0.0027922
22.383,-20,1.0087,-0.0027804
22.455,-20,1.0087,-0.0027686
22.528,-20,1.0087,-0.0027569
22.6,-20,1.0087,-0.0027452
22.673,-20,1.0087,-0.0027335
22.745,-20,1.0087,-0.0027219
22.818,-20,1.0087,-0.0027103
22.891,-20,1.0087,-0.0026987
22.964,-20,1.0087,-0.0026871
23.038,-20,1.0087,-0.0026756
23.111,-20,1.0087,-0.0026641
23.185,-20,1.0087,-0.0026526
23.258,-20,1.0087,-0.0026411
23.332,-20,1.0087,-0.0026297
23.406,-20,1.0087,-0.0026183
23.48,-20,1.0087,-0.0026069
23.554,-20,1.0087,-0.0025955
23.629,-20,1.0087,-0.0025842
23.703,-20,1.0087,-0.0025729
23.778,-20,1.0087,-0.0025616
23.853,-20,1.0087,-0.0025503
23.928,-20,1.0087,-0.0025391
24.003,-20,1.0087,-0.0025279
24.078,-20,1.0087,-0.0025167
24.154,-20,1.0087,-0.0025055
24.229,-20,1.0087,-0.0024944
24.305,-20,1.0087,-0.0024833
24.381,-20,1.0087,-0.0024722
24.457,-20,1.0087,-0.0024612
24.533,-20,1.0087,-0.0024501
24.609,-20,1.0087,-0.0024392
24.686,-20,1.0087,-0.0024282
24.762,-20,1.0087,-0.0024173
24.839,-20,1.0087,-0.0024064
24.916,-20,1.0086,-0.0023955
24.993,-20,1.0086,-0.0023847
25.07,-20,1.0086,-0.0023738
25.147,-20,1.0086,-0.0023631
25.225,-20,1.0086,-0.0023523
25.302,-20,1.0086,-0.0023416
25.38,-20,1.0086,-0.0023309
25.458,-20,1.0086,-0.0023203
25.536,-20,1.0086,-0.0023097
25.614,-20,1.0086,-0.0022991
25.693,-20,1.0086,-0.0022886
25.771,-20,1.0086,-0.0022781
25.85,-20,1.0086,-0.0022676
25.929,-20,1.0086,-0.0022571
26.008,-20,1.0086,-0.0022467
26.087,-20,1.0086,-0.0022363
26.166,-20,1.0086,-0.002226
26.246,-20,1.0086,-0.0022157
26.325,-20,1.0086,-0.0022054
26.405,-20,1.0086,-0.0021952
26.485,-20,1.0086,-0.0021849
26.565,-20,1.0086,-0.0021748
26.645,-20,1.0086,-0.0021646
26.725,-20,1.0086,-0.0021545
26.806,-20,1.0086,-0.0021444
26.887,-20,1.0085,-0.0021344
26.967,-20,1.0085,-0.0021243
27.048,-20,1.0085,-0.0021143
27.129,-20,1.0085,-0.0021044
27.211,-20,1.0085,-0.0020944
27.292,-20,1.0085,-0.0020846
27.374,-20,1.0085,-0.0020747
